kind,bit_width,baseline_mb,compressed_mb,ratio,layers,kv_heads,probe_tokens,cosine_similarity,top1,top5
compression,2,289,45.1562,6.4,,,,,,
attention,2,,,,36,72,8,0.695237,NA,NA
